,STT_NAAM,MAX_SNELHEID,WKT_LAT_LNG
2056,Oude Haagseweg,60,"52.333807 4.809851,52.333662 4.809854,52.333547 4.809702,52.333452 4.80949,52.333319 4.809235,52.333035 4.808743,52.332619 4.808047,52.332127 4.807251,52.331996 4.807094"
2057,Oude Haagseweg,60,"52.335927 4.814812,52.335986 4.81496,52.336064 4.81511,52.33617 4.815196,52.33636 4.815294"
2062,Oude Haagseweg,60,"52.332038 4.806522,52.331914 4.806578,52.331839 4.806629,52.331773 4.806728,52.331656 4.807045,52.331474 4.807502,52.331278 4.807978,52.331244 4.80808,52.331223 4.808184,52.331178 4.808489,52.331159 4.808696,52.331159 4.808781"
2068,Oude Haagseweg,50,"52.335901 4.814887,52.33592 4.81527,52.336002 4.815548,52.33631 4.816145,52.33671 4.817094,52.336903 4.817825"
2070,Oude Haagseweg,50,"52.33636 4.815294,52.336352 4.815382,52.336356 4.815438"
2081,Oude Haagseweg,50,"52.337091 4.817735,52.337137 4.818013,52.337193 4.818379,52.337231 4.818726,52.337261 4.819113,52.337268 4.819446,52.337271 4.819957,52.337256 4.821431,52.337238 4.824086,52.337235 4.825216,52.337237 4.825788,52.337248 4.826081,52.337267 4.826301,52.337304 4.826579,52.33735 4.826784,52.337414 4.826974,52.337495 4.827149,52.337586 4.82728,52.337694 4.827411,52.337857 4.827526,52.337938 4.827569,52.338037 4.827597,52.339169 4.827583"
2088,Marnixstraat,30,"52.365153 4.880342,52.364804 4.880643,52.364572 4.880954,52.364416 4.881203,52.364257 4.881431,52.363938 4.881843,52.363824 4.882004,52.363789 4.882196"
2089,Marnixstraat,50,"52.366495 4.879576,52.366397 4.879626,52.365649 4.8799,52.36537 4.88003,52.365325 4.880055"
2091,Marnixstraat,50,"52.378822 4.879396,52.379237 4.879635,52.379635 4.87989"
2092,Marnixstraat,50,"52.365325 4.880055,52.365092 4.880169"
2093,Valkenburgerstraat,50,"52.368939 4.905163,52.369029 4.905169,52.369627 4.906828,52.36998 4.907733,52.370105 4.908075,52.37008 4.908177"
2095,Marnixstraat,50,"52.382012 4.881401,52.382814 4.881921,52.383373 4.882239"
2096,Valkenburgerstraat,50,"52.369996 4.908038,52.370011 4.908178,52.370085 4.908435,52.370152 4.908509"
2097,Marnixstraat,50,"52.371456 4.876073,52.370799 4.876549"
2100,Valkenburgerstraat,50,"52.370152 4.908509,52.370174 4.90871,52.370335 4.90913,52.370503 4.909508"
2103,Marnixstraat,50,"52.365092 4.880169,52.364752 4.880467,52.364591 4.880674,52.364163 4.88134,52.364029 4.881532,52.363817 4.881809,52.363652 4.881901"
2118,Marnixstraat,50,"52.372188 4.875542,52.372076 4.875621"
2121,Marnixstraat,50,"52.383373 4.882239,52.383788 4.88246"
2128,Valkenburgerstraat,70,"52.370152 4.908509,52.370227 4.908594,52.370373 4.908906,52.370624 4.909401,52.37086 4.909825,52.37112 4.910235,52.371438 4.910673,52.371827 4.91112,52.372115 4.911381,52.372314 4.91154,52.372548 4.911699,52.37271 4.9118,52.37307 4.911958,52.37325 4.91203,52.373322 4.912043"
2133,Marnixstraat,50,"52.378443 4.879123,52.378615 4.879251,52.378822 4.879396"
2137,Valkenburgerstraat,100,"52.370503 4.909508,52.370549 4.909612,52.370647 4.909784,52.370794 4.909987,52.371192 4.910529,52.371398 4.910797,52.371782 4.911252,52.372089 4.911543,52.372278 4.911702,52.372495 4.911861,52.37272 4.912021,52.372999 4.912164,52.373179 4.912236,52.373386 4.912307"
2158,Marnixstraat,50,"52.376397 4.877735,52.377551 4.878485"
2159,Marnixstraat,50,"52.375378 4.877092,52.375766 4.877331,52.376397 4.877735"
2164,Marnixstraat,50,"52.368847 4.877873,52.368706 4.877971"
2166,Marnixstraat,50,"52.381598 4.881127,52.382012 4.881401"
2167,Marnixstraat,50,"52.381102 4.880809,52.381598 4.881127"
