,pand_id,road_ids
202,363100012078068.0,[]
203,363100012099964.0,[]
204,363100012112263.0,[]
205,363100012073733.0,[]
206,363100012066166.0,[]
207,363100012121324.0,[]
208,363100012076685.0,[]
209,363100012110029.0,[]
210,363100012070638.0,[]
211,363100012126912.0,[]
212,363100012084752.0,[]
213,363100012153583.0,"[[[52.360189, 4.915883], [52.360045, 4.915973], [52.359606, 4.916286]]]"
214,363100012233570.0,[]
215,363100012074769.0,[]
216,363100012081013.0,[]
217,363100012124335.0,[]
218,363100012112665.0,[]
219,363100012236956.0,[]
220,363100012097902.0,[]
221,363100012236586.0,[]
222,363100012240319.0,"[[[52.358088, 4.909974], [52.357616, 4.910259], [52.357498, 4.910205]]]"
223,363100012241375.0,[]
224,363100012241500.0,[]
225,363100012061522.0,[]
226,363100012092894.0,[]
227,363100012129936.0,[]
228,363100012147141.0,[]
229,363100012071913.0,[]
230,363100012122972.0,[]
231,363100012076300.0,[]
232,363100012062369.0,[]
233,363100012092072.0,[]
234,363100012116876.0,[]
235,363100012152294.0,[]
236,363100012162612.0,[]
237,363100012166996.0,[]
238,363100012162672.0,[]
239,363100012160342.0,[]
240,363100012164527.0,[]
241,363100012164104.0,[]
242,363100012158524.0,[]
243,363100012163816.0,[]
244,363100012077856.0,[]
245,363100012147144.0,[]
246,363100012159773.0,[]
247,363100012157449.0,[]
248,363100012165320.0,[]
249,363100012151829.0,[]
250,363100012159876.0,[]
251,363100012064394.0,[]
252,363100012163324.0,[]
253,363100012162644.0,[]
254,363100012159369.0,[]
255,363100012157016.0,[]
256,363100012159544.0,[]
257,363100012089493.0,[]
258,363100012163290.0,[]
259,363100012163225.0,[]
260,363100012070074.0,[]
261,363100012075722.0,[]
262,363100012100468.0,[]
263,363100012116323.0,[]
264,363100012236550.0,[]
265,363100012120584.0,[]
266,363100012236024.0,[]
267,363100012237104.0,[]
268,363100012065514.0,[]
269,363100012074482.0,[]
270,363100012160250.0,[]
271,363100012087582.0,[]
272,363100012152861.0,[]
273,363100012158190.0,[]
274,363100012158649.0,[]
275,363100012135650.0,[]
276,363100012069027.0,[]
277,363100012083214.0,[]
278,363100012084305.0,[]
279,363100012075206.0,[]
280,363100012131211.0,[]
281,363100012149589.0,[]
282,363100012120088.0,[]
283,363100012091160.0,[]
284,363100012146431.0,[]
285,363100012066132.0,[]
286,363100012094741.0,[]
287,363100012119271.0,[]
288,363100012063386.0,[]
289,363100012112474.0,[]
290,363100012085895.0,[]
291,363100012136474.0,[]
292,363100012162879.0,[]
293,363100012132375.0,[]
294,363100012157719.0,[]
295,363100012152811.0,[]
296,363100012155897.0,[]
297,363100012089490.0,[]
298,363100012070785.0,[]
299,363100012158994.0,[]
300,363100012130460.0,[]
301,363100012120005.0,[]
302,363100012236913.0,[]
303,363100012087784.0,[]
304,363100012106168.0,[]
305,363100012233652.0,[]
306,363100012163391.0,[]
307,363100012162382.0,[]
308,363100012159238.0,[]
309,363100012160653.0,[]
310,363100012164053.0,[]
311,363100012236542.0,[]
312,363100012152923.0,[]
313,363100012162966.0,[]
314,363100012155970.0,[]
315,363100012160928.0,[]
316,363100012160081.0,[]
317,363100012156468.0,[]
318,363100012166856.0,[]
319,363100012153768.0,[]
320,363100012165481.0,[]
321,363100012160771.0,[]
322,363100012233445.0,[]
323,363100012166790.0,[]
324,363100012157603.0,[]
325,363100012156405.0,[]
326,363100012161638.0,[]
327,363100012152955.0,[]
328,363100012162586.0,[]
329,363100012161320.0,[]
330,363100012163849.0,[]
331,363100012237283.0,[]
332,363100012152425.0,[]
333,363100012163223.0,[]
334,363100012154253.0,[]
335,363100012160957.0,[]
336,363100012155680.0,[]
337,363100012153142.0,[]
338,363100012153516.0,[]
339,363100012153720.0,[]
340,363100012157741.0,[]
341,363100012153645.0,[]
342,363100012066558.0,[]
343,363100012089455.0,[]
344,363100012132048.0,[]
345,363100012092303.0,[]
346,363100012127457.0,[]
347,363100012103667.0,[]
348,363100012107362.0,[]
